EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, E16 EIDESMOEN (STAID: 18592).
Blended and updated with sources: 199217 199514 200732 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200732,19790101,-9999,    9
200732,19790102,-9999,    9
200732,19790103,-9999,    9
200732,19790104,-9999,    9
200732,19790105,-9999,    9
200732,19790106,-9999,    9
200732,19790107,-9999,    9
200732,19790108,-9999,    9
200732,19790109,-9999,    9
200732,19790110,-9999,    9
200732,19790111,-9999,    9
200732,19790112,-9999,    9
200732,19790113,-9999,    9
200732,19790114,-9999,    9
200732,19790115,-9999,    9
200732,19790116,-9999,    9
200732,19790117,-9999,    9
200732,19790118,-9999,    9
200732,19790119,-9999,    9
200732,19790120,-9999,    9
200732,19790121,-9999,    9
200732,19790122,-9999,    9
200732,19790123,-9999,    9
200732,19790124,-9999,    9
200732,19790125,-9999,    9
200732,19790126,-9999,    9
200732,19790127,-9999,    9
200732,19790128,-9999,    9
200732,19790129,-9999,    9
200732,19790130,-9999,    9
200732,19790131,-9999,    9
200732,19790201,-9999,    9
200732,19790202,-9999,    9
200732,19790203,-9999,    9
200732,19790204,-9999,    9
200732,19790205,-9999,    9
200732,19790206,-9999,    9
200732,19790207,-9999,    9
200732,19790208,-9999,    9
200732,19790209,-9999,    9
200732,19790210,-9999,    9
200732,19790211,-9999,    9
200732,19790212,-9999,    9
200732,19790213,-9999,    9
200732,19790214,-9999,    9
200732,19790215,-9999,    9
200732,19790216,-9999,    9
200732,19790217,-9999,    9
200732,19790218,-9999,    9
200732,19790219,-9999,    9
200732,19790220,-9999,    9
200732,19790221,-9999,    9
200732,19790222,-9999,    9
200732,19790223,-9999,    9
200732,19790224,-9999,    9
200732,19790225,-9999,    9
200732,19790226,-9999,    9
200732,19790227,-9999,    9
200732,19790228,-9999,    9
200732,19790301,-9999,    9
200732,19790302,-9999,    9
200732,19790303,-9999,    9
200732,19790304,-9999,    9
200732,19790305,-9999,    9
200732,19790306,-9999,    9
200732,19790307,-9999,    9
200732,19790308,-9999,    9
200732,19790309,-9999,    9
200732,19790310,-9999,    9
200732,19790311,-9999,    9
200732,19790312,-9999,    9
200732,19790313,-9999,    9
200732,19790314,-9999,    9
200732,19790315,-9999,    9
200732,19790316,-9999,    9
200732,19790317,-9999,    9
200732,19790318,-9999,    9
200732,19790319,-9999,    9
200732,19790320,-9999,    9
200732,19790321,-9999,    9
200732,19790322,-9999,    9
200732,19790323,-9999,    9
200732,19790324,-9999,    9
200732,19790325,-9999,    9
200732,19790326,-9999,    9
200732,19790327,-9999,    9
200732,19790328,-9999,    9
200732,19790329,-9999,    9
200732,19790330,-9999,    9
200732,19790331,-9999,    9
200732,19790401,-9999,    9
200732,19790402,-9999,    9
200732,19790403,-9999,    9
200732,19790404,-9999,    9
200732,19790405,-9999,    9
200732,19790406,-9999,    9
200732,19790407,-9999,    9
200732,19790408,-9999,    9
200732,19790409,-9999,    9
200732,19790410,-9999,    9
200732,19790411,-9999,    9
200732,19790412,-9999,    9
200732,19790413,-9999,    9
200732,19790414,-9999,    9
200732,19790415,-9999,    9
200732,19790416,-9999,    9
200732,19790417,-9999,    9
200732,19790418,-9999,    9
200732,19790419,-9999,    9
200732,19790420,-9999,    9
200732,19790421,-9999,    9
200732,19790422,-9999,    9
200732,19790423,-9999,    9
200732,19790424,-9999,    9
200732,19790425,-9999,    9
200732,19790426,-9999,    9
200732,19790427,-9999,    9
200732,19790428,-9999,    9
200732,19790429,-9999,    9
200732,19790430,-9999,    9
200732,19790501,-9999,    9
200732,19790502,-9999,    9
200732,19790503,-9999,    9
200732,19790504,-9999,    9
200732,19790505,-9999,    9
200732,19790506,-9999,    9
200732,19790507,-9999,    9
200732,19790508,-9999,    9
200732,19790509,-9999,    9
200732,19790510,-9999,    9
200732,19790511,-9999,    9
200732,19790512,-9999,    9
200732,19790513,-9999,    9
200732,19790514,-9999,    9
200732,19790515,-9999,    9
200732,19790516,-9999,    9
200732,19790517,-9999,    9
200732,19790518,-9999,    9
200732,19790519,-9999,    9
200732,19790520,-9999,    9
200732,19790521,-9999,    9
200732,19790522,-9999,    9
200732,19790523,-9999,    9
200732,19790524,-9999,    9
200732,19790525,-9999,    9
200732,19790526,-9999,    9
200732,19790527,-9999,    9
200732,19790528,-9999,    9
200732,19790529,-9999,    9
200732,19790530,-9999,    9
200732,19790531,-9999,    9
200732,19790601,-9999,    9
200732,19790602,-9999,    9
200732,19790603,-9999,    9
200732,19790604,-9999,    9
200732,19790605,-9999,    9
200732,19790606,-9999,    9
200732,19790607,-9999,    9
200732,19790608,-9999,    9
200732,19790609,-9999,    9
200732,19790610,-9999,    9
200732,19790611,-9999,    9
200732,19790612,-9999,    9
200732,19790613,-9999,    9
200732,19790614,-9999,    9
200732,19790615,-9999,    9
200732,19790616,-9999,    9
200732,19790617,-9999,    9
200732,19790618,-9999,    9
200732,19790619,-9999,    9
200732,19790620,-9999,    9
200732,19790621,-9999,    9
200732,19790622,-9999,    9
200732,19790623,-9999,    9
200732,19790624,-9999,    9
200732,19790625,-9999,    9
200732,19790626,-9999,    9
200732,19790627,-9999,    9
200732,19790628,-9999,    9
200732,19790629,-9999,    9
